season,game,event_id,prediction_time,sportsbook,player,normalized_player,price,quote_time,quote_age_minutes
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Ja'Marr Chase,jamarrchase,100,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,pointsbetus,Ja'Marr Chase,jamarrchase,100,2023-09-17T15:53:16+00:00,6.733333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Ja'Marr Chase,jamarrchase,-110,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Ja'Marr Chase,jamarrchase,116,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Joe Bachie,joebachie,9000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Joe Burrow,joeburrow,550,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Joe Burrow,joeburrow,260,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Joe Burrow,joeburrow,270,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Joe Burrow,joeburrow,330,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Joe Burrow,joeburrow,320,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Joe Burrow,joeburrow,470,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,pointsbetus,Joe Burrow,joeburrow,475,2023-09-17T15:53:16+00:00,6.733333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Joe Burrow,joeburrow,270,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Joe Burrow,joeburrow,460,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Joe Mixon,joemixon,110,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Joe Mixon,joemixon,-110,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Joe Mixon,joemixon,-112,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Joe Mixon,joemixon,-106,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Joe Mixon,joemixon,105,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Joe Mixon,joemixon,-105,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,pointsbetus,Joe Mixon,joemixon,-120,2023-09-17T15:53:16+00:00,6.733333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Joe Mixon,joemixon,-112,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Joe Mixon,joemixon,-104,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Justice Hill,justicehill,300,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Justice Hill,justicehill,300,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Justice Hill,justicehill,310,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Justice Hill,justicehill,375,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Justice Hill,justicehill,320,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Justice Hill,justicehill,280,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Justice Hill,justicehill,310,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Justice Hill,justicehill,260,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Justin Madubuike,justinmadubuike,9000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Kyle Hamilton,kylehamilton,3500,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Lamar Jackson,lamarjackson,190,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Lamar Jackson,lamarjackson,130,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Lamar Jackson,lamarjackson,120,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Lamar Jackson,lamarjackson,150,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Lamar Jackson,lamarjackson,130,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,pointsbetus,Lamar Jackson,lamarjackson,130,2023-09-17T15:53:16+00:00,6.733333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Lamar Jackson,lamarjackson,120,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Lamar Jackson,lamarjackson,130,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Lamar Jackson (BAL),lamarjacksonbal,135,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Logan Wilson,loganwilson,4000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Malik Harrison,malikharrison,10000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Mark Andrews,markandrews,210,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Mark Andrews,markandrews,150,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Mark Andrews,markandrews,163,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Mark Andrews,markandrews,185,2023-09-17T15:52:49+00:00,7.183333333333334
