Player,Team,Opponent,Game Date,Prop,Sportsbook Line,Model Mean,Distribution Method,P(Over),P(Under),P(Push),Best Over Odds,Best Under Odds,Market No-Vig P(Over),Median Over Odds,Median Under Odds,Books Quoting,Model Minus Market,Quote Age,Quote Timestamp,Confidence / Data Quality Flag
Joshua Palmer,,,2026-09-17,receptions,1.5,,negative_binomial,,,,180,-204,0.3604118993135011,160.0,-215.00000000000003,5,,1.2262096333333332,2026-09-17T19:43:24+00:00,LOW_HISTORY
Jahmyr Gibbs,DET,BUF,2026-09-17,rushing_attempts,18.5,15.562613511212717,negative_binomial,0.23852249296230463,0.7614775070376953,0.0,-114,-111,,-113.99999999999999,-110.99999999999999,1,,0.10954296666666667,2026-09-17T19:44:03+00:00,INSUFFICIENT_MARKET
Jameson Williams,DET,BUF,2026-09-17,receptions,4.5,4.2699729091841805,negative_binomial,0.35359635701590786,0.6464036429840921,0.0,125,-164,,125.0,-164.49848024316108,2,,1.2262096333333332,2026-09-17T19:43:24+00:00,INSUFFICIENT_MARKET
Jahmyr Gibbs,DET,BUF,2026-09-17,rushing_attempts,17.5,15.562613511212717,negative_binomial,0.24756702759767543,0.7524329724023247,0.0,-130,100,,-130.0,100.0,1,,1.2262096333333332,2026-09-17T19:42:56+00:00,INSUFFICIENT_MARKET
Josh Allen,BUF,DET,2026-09-17,rushing_attempts,6.5,6.920614463723289,negative_binomial,0.2766459888387754,0.7233540111612246,0.0,-125,-105,,-125.0,-105.0,1,,0.7595429666666667,2026-09-17T19:43:24+00:00,INSUFFICIENT_MARKET
Tetairoa McMillan,CAR,ATL,2026-09-20,receptions,4.5,,negative_binomial,,,,-102,-122,0.4785162971338676,-103.99038461538463,-125.0,4,,2.1095429666666665,2026-09-17T19:43:35+00:00,LOW_HISTORY
Bijan Robinson,ATL,CAR,2026-09-20,rushing_attempts,18.5,19.385889387743983,negative_binomial,0.27434803654919065,0.7256519634508093,0.0,-122,-105,,-122.0,-105.49763033175356,2,,0.4928763,2026-09-17T19:44:04+00:00,INSUFFICIENT_MARKET
Xavier Legette,CAR,ATL,2026-09-20,receptions,1.5,3.384205260874436,negative_binomial,0.6080659550529884,0.3919340449470116,0.0,-135,100,,-135.0,100.0,1,,1.0595429666666667,2026-09-17T19:43:06+00:00,INSUFFICIENT_MARKET
Bryce Young,CAR,ATL,2026-09-20,rushing_attempts,3.5,3.4053539956928724,negative_binomial,0.2617857314853119,0.7382142685146881,0.0,100,-135,,100.0,-135.0,1,,1.0595429666666667,2026-09-17T19:43:06+00:00,INSUFFICIENT_MARKET
Chris Olave,NO,BAL,2026-09-20,receptions,6.5,3.780953378590382,negative_binomial,0.1920090961072037,0.8079909038927963,0.0,121,-154,,120.5,-156.94267515923568,2,,0.9595429666666667,2026-09-17T19:43:12+00:00,INSUFFICIENT_MARKET
Derrick Henry,BAL,NO,2026-09-20,rushing_attempts,18.5,20.641853985573402,negative_binomial,0.2845986027193699,0.7154013972806302,0.0,-118,-108,,-118.99159663865545,-107.99999999999999,2,,0.9595429666666667,2026-09-17T19:43:12+00:00,INSUFFICIENT_MARKET
Travis Etienne Jr.,NO,BAL,2026-09-20,rushing_attempts,11.5,10.702230598859991,negative_binomial,0.2549829171797538,0.7450170828202461,0.0,-105,-122,,-105.0,-122.0,1,,0.9595429666666667,2026-09-17T19:43:12+00:00,INSUFFICIENT_MARKET|TEAM_CHANGE
Lamar Jackson,BAL,NO,2026-09-20,rushing_attempts,7.5,6.746348164933136,negative_binomial,0.24949340610046036,0.7505065938995397,0.0,-135,106,,-135.0,104.99999999999999,2,,0.9595429666666667,2026-09-17T19:43:27+00:00,INSUFFICIENT_MARKET
Chris Olave,NO,BAL,2026-09-20,receptions,5.5,3.780953378590382,negative_binomial,0.24495860482145346,0.7550413951785465,0.0,-158,122,,-158.4984227129338,119.99999999999997,2,,1.0095429666666667,2026-09-17T19:43:45+00:00,INSUFFICIENT_MARKET
Travis Etienne Jr.,NO,BAL,2026-09-20,rushing_attempts,10.5,10.702230598859991,negative_binomial,0.2697533242513243,0.7302466757486756,0.0,-116,-111,,-116.00000000000001,-110.99999999999999,1,,0.7095429666666667,2026-09-17T19:43:27+00:00,INSUFFICIENT_MARKET|TEAM_CHANGE
Luther Burden III,CHI,MIN,2026-09-20,receptions,4.5,,negative_binomial,,,,120,-133,0.45420136260408783,106.0,-139.99999999999997,5,,1.8262096333333333,2026-09-17T19:43:59+00:00,LOW_HISTORY
Colston Loveland,CHI,MIN,2026-09-20,receptions,4.5,,negative_binomial,,,,124,-135,0.43668122270742354,114.99999999999999,-150.00000000000003,5,,1.8262096333333333,2026-09-17T19:42:51+00:00,LOW_HISTORY
Aaron Jones,MIN,CHI,2026-09-20,rushing_attempts,15.5,14.997546114546697,negative_binomial,0.2613218608359456,0.7386781391640544,0.0,100,-127,,-100.49751243781094,-128.48249027237355,2,,1.3095429666666665,2026-09-17T19:43:43+00:00,INSUFFICIENT_MARKET
Kyle Monangai,CHI,MIN,2026-09-20,rushing_attempts,8.5,,negative_binomial,,,,-125,108,,-130.72519083969465,101.61904761904763,2,,1.3095429666666665,2026-09-17T19:43:59+00:00,INSUFFICIENT_MARKET|LOW_HISTORY
Kyle Monangai,CHI,MIN,2026-09-20,rushing_attempts,9.5,,negative_binomial,,,,120,-156,,120.00000000000001,-156.0,1,,0.4428763,2026-09-17T19:43:43+00:00,INSUFFICIENT_MARKET|LOW_HISTORY
Justin Jefferson,,,2026-09-20,receptions,6.5,7.186505956683596,negative_binomial,0.40834593981515804,0.591654060184842,0.0,115,-140,,110.5,-147.11864406779662,2,,0.6262096333333333,2026-09-17T19:43:59+00:00,INSUFFICIENT_MARKET
D'Andre Swift,CHI,MIN,2026-09-20,rushing_attempts,13.5,13.510660459307813,negative_binomial,0.26681378665013405,0.7331862133498659,0.0,-135,100,,-135.0,100.0,1,,0.17620963333333334,2026-09-17T19:43:59+00:00,INSUFFICIENT_MARKET
DeeJay Dallas,MIN,CHI,2026-09-20,rushing_attempts,5.5,0.7910789736411626,negative_binomial,0.029026786374112556,0.9709732136258875,0.0,-105,-125,,-105.0,-125.0,1,,0.17620963333333334,2026-09-17T19:43:59+00:00,INSUFFICIENT_MARKET|TEAM_CHANGE
