game,player_id,position,team,season,anytime_td,p_hierarchical_oof,p_pooled_logistic_oof_raw,p_position_logistic_oof_raw,p_lightgbm_conservative_oof_raw,component_fit_max_season
2023_13_ATL_NYJ,00-0038122,QB,ATL,2023,0,0.10219382201992044,0.061989845260411146,0.038019755572244594,0.104219937909826,2022
2023_13_ATL_NYJ,00-0038542,RB,ATL,2023,0,0.2528866982548251,0.23582849465101907,0.1914788383357406,0.2142938959915719,2022
2023_13_ATL_NYJ,00-0032134,TE,NYJ,2023,0,0.04920111222577339,0.04638895808215026,0.05200659558467739,0.06640311706494179,2022
2023_13_ATL_NYJ,00-0033893,RB,NYJ,2023,0,0.07491890845220406,0.04603585539781482,0.05412740745845102,0.07584807113068771,2022
2023_13_ATL_NYJ,00-0034177,QB,NYJ,2023,0,0.06965109152382376,0.044496010142602536,0.030273971579515817,0.06877247838888839,2022
2023_13_ATL_NYJ,00-0034270,TE,NYJ,2023,0,0.10524342301634915,0.08616990884940703,0.09510800460485218,0.1399927785678169,2022
2023_13_ATL_NYJ,00-0034433,RB,NYJ,2023,0,0.03447063456954769,0.02880483140242688,0.03725791787002857,0.053427176320990116,2022
2023_13_ATL_NYJ,00-0034521,WR,NYJ,2023,0,0.10764881800617165,0.11148353375441676,0.09296435539530327,0.10796325334942253,2022
2023_13_ATL_NYJ,00-0035480,WR,NYJ,2023,0,0.04034917724722997,0.04149674771011048,0.033496569373080744,0.05123392835035772,2022
2023_13_ATL_NYJ,00-0036924,RB,NYJ,2023,0,0.0652461111877175,0.05621771036386503,0.026002777493320927,0.07142810695781042,2022
2023_13_ATL_NYJ,00-0037013,QB,NYJ,2023,0,0.1084816954532154,0.09461576359317374,0.11494414751459156,0.11181560296499558,2022
2023_13_ATL_NYJ,00-0037740,WR,NYJ,2023,0,0.24128230446287524,0.3002429876498758,0.2546596252776636,0.21879831167209116,2022
2023_13_ATL_NYJ,00-0037805,TE,NYJ,2023,0,0.053091115757662566,0.05004549682727932,0.05380247163267364,0.05863620370529394,2022
